,principal component 1,principal component 2,principal component 3,principal component 4,LA,minisom_cluster,,cluster info
0,-0.974034638,0.340428097,0.318212436,-0.771794452,"Bournemouth, Christchurch and Poole",0,,similar to cluster 7 in kmeans
1,-2.680591709,-0.810972327,0.601195268,0.113325042,Doncaster,0,,
2,-1.463781574,0.300472549,-0.873443608,-0.156911933,Solihull,0,,
3,-2.080614771,1.178055864,0.240203944,0.055506595,West Oxfordshire,0,,
4,-0.371474617,-0.706034025,0.119654417,-0.277552979,Ashfield,1,,
5,-0.352534918,-0.640080201,-0.365124789,-0.254222631,Ashford,1,,
6,-1.595274269,1.224170535,0.007854602,-0.452524963,Basingstoke and Deane,1,,
7,4.394512369,-1.586628317,0.011115322,-0.977311483,Bedford,1,,
8,1.902612344,-0.574421545,-0.119663455,-0.538187438,Blaby,1,,
9,-1.123968375,-1.356563963,-0.693387379,0.372172909,Blackpool,1,,
10,-1.896679312,-2.245410842,0.911955219,0.140000078,Bolsover,1,,
11,0.520751419,-1.124463999,-0.384036505,-0.273560795,Boston,1,,
12,-0.12035283,-0.822712524,-0.538251893,-0.079733627,Bracknell Forest,1,,
13,-1.054239115,1.120173461,-1.346748326,1.023395952,Braintree,1,,
14,1.024449355,0.885774761,1.06676863,-0.07945775,Brentwood,1,,
15,0.319560727,-0.159396792,-1.004695571,0.69556392,Bromley,1,,
16,0.858395965,-0.917068148,-0.35968898,-0.51573332,Broxbourne,1,,
17,2.200618335,-2.569425174,0.17971883,0.969252309,Broxtowe,1,,
18,-0.191772078,0.214202016,-0.710588838,-0.233775508,Central Bedfordshire,1,,
19,1.061688554,-2.245000524,-0.627224889,0.767855524,Chelmsford,1,,
20,-0.365325356,-0.133845252,1.27600596,0.097244706,Croydon,1,,
21,-1.667606952,-1.678425936,-0.059396877,0.282159936,Ealing,1,,
22,-0.468295502,0.275685682,-0.687362829,-0.483697614,East Hampshire,1,,
23,0.269759859,-1.869767722,-0.829926353,0.52124992,Eastbourne,1,,
24,-0.345961297,-0.547491894,-0.252058999,0.126899454,Eden,1,,
25,-1.588467299,-1.204648243,0.823781946,2.887482619,Enfield,1,,
26,1.08397149,-0.127084268,0.693288352,-0.151142954,Epping Forest,1,,
27,0.606373972,-2.416809936,-0.246119133,0.911518196,Fareham,1,,
28,-0.658646399,-0.214380096,-0.031285867,-0.397955227,Gateshead,1,,
29,-1.278422061,1.312748869,-0.636054926,0.189607562,Gloucester,1,,
30,3.547964759,-1.402972139,0.931305281,-1.350122313,Harrow,1,,
31,-0.120684867,0.145386091,0.099344725,-0.73904185,Havant,1,,
32,-1.460666491,-1.001679911,-0.632925714,1.000209892,"Herefordshire, County of",1,,
33,1.895681489,-0.371640786,1.20639743,-0.216375436,Hounslow,1,,
34,2.776357261,0.029576684,-0.678041362,0.274526128,Manchester,1,,
35,-1.60951142,1.005205642,-0.6427105,-0.234495762,Mid Suffolk,1,,
36,0.523226565,-0.624895569,-0.086325171,-0.558149841,North East Lincolnshire,1,,
37,-0.741187261,2.558967855,-1.495646899,0.655601903,North Tyneside,1,,
38,0.724764835,-0.487310609,-0.40068814,-0.775462481,Peterborough,1,,
39,0.069914517,0.515952036,0.301914373,-1.322643339,Ribble Valley,1,,
40,0.242059683,0.969245984,0.996811086,2.077594464,Rochford,1,,
41,0.246799199,-1.480929009,-0.360720757,0.345051795,Selby,1,,
42,-0.079981637,-1.429268014,0.122237079,0.042348692,Slough,1,,
43,-1.445764906,-2.166543361,0.167030333,0.200899567,Somerset West and Taunton,1,,
44,-0.780342822,-1.552317668,-0.028184693,-0.017984466,South Derbyshire,1,,
45,6.494584972,3.89350232,4.214024567,3.402858593,Southampton,1,,
46,3.658137517,1.048088337,0.012470699,0.277803854,Southwark,1,,
47,-0.777180419,-0.817022269,-0.391173784,-0.150235057,Spelthorne,1,,
48,1.307084379,1.250163339,1.771491529,1.074082826,Sunderland,1,,
49,2.130631808,-0.92898108,-0.284667933,1.487820604,Surrey Heath,1,,
50,-1.79458854,-1.09823756,-0.014238224,0.369745325,Tamworth,1,,
51,-2.037141899,-0.445138969,-0.437723088,0.428822998,Tendring,1,,
52,-1.666781353,-0.210951589,0.182856466,-0.693571971,Thanet,1,,
53,0.250288633,0.268754262,-1.275305724,-0.133262743,Thurrock,1,,
54,-0.514768226,1.297535259,3.089406386,0.598155319,Trafford,1,,
55,1.195416298,1.235418707,-0.053681993,1.235862687,Warrington,1,,
56,-0.047216044,-0.028267253,-0.309273003,-0.236270716,Welwyn Hatfield,1,,
57,0.233137448,0.061517917,3.241597266,-1.192607998,Wigan,1,,
58,0.697386343,1.333588767,-1.88330186,0.607690268,Winchester,1,,
59,-1.610217499,0.232323229,-0.951541961,0.351647291,Wirral,1,,
60,-1.14438495,-0.143964662,-0.80731707,0.065992134,Cherwell,2,,
61,-1.278161417,-0.781177443,0.265927603,-0.201582396,Chorley,2,,
62,-1.13311839,1.928951255,0.728035206,-0.716536736,Darlington,2,,
63,-0.229368537,1.797877273,-2.306804394,1.255869924,East Riding of Yorkshire,2,,
64,1.532688829,0.424156003,-0.236738722,1.007512801,Luton,2,,
65,-2.595040898,0.072548764,0.643228003,0.273663772,North Warwickshire,2,,
66,-2.193583348,-1.061444053,0.623682017,0.389148735,Redditch,2,,
67,-1.962914392,0.226572903,-0.324677425,0.241051769,Rotherham,2,,
68,-1.266785295,2.303740577,0.386694837,-1.231513186,Ryedale,2,,
69,-1.090356593,-0.190603038,-0.425758542,1.02551802,South Cambridgeshire,2,,
70,2.787147923,-1.270879107,-0.738949129,1.540111407,Sutton,2,,
71,-1.971597744,1.15096161,0.391339045,-0.526928658,Tunbridge Wells,2,,
72,1.355486447,-1.875566381,-0.281249879,-0.008130561,Vale of Glamorgan,2,,
73,2.26086764,-0.712184882,-0.463510057,-0.455900154,Woking,2,,
74,0.498241257,-0.027589028,-0.682698669,0.000311109,Bassetlaw,3,,
75,-1.049427995,-1.069054913,0.297376586,0.124982658,Breckland,3,,
76,2.020624387,1.551507965,-3.247209258,0.297223306,Bromsgrove,3,,
77,-1.623207192,-0.232521748,0.186902341,-0.225169546,East Cambridgeshire,3,,
78,1.007724055,-1.613472713,0.391328259,0.279476866,East Devon,3,,
79,-2.09066681,1.417640486,0.671832233,-0.597405797,Forest of Dean,3,,
80,-0.591045109,-0.365641017,-1.54525873,1.13477745,Hammersmith and Fulham,3,,
81,-3.08377687,1.288041267,3.173977915,6.087093241,Hinckley and Bosworth,3,,
82,-1.604905158,0.465437444,-0.451017408,0.383282295,Leicester,3,,
83,-0.791342122,-1.526626242,-0.179348034,0.166233576,Lewisham,3,,
84,3.325328703,-0.318719578,0.025945088,-0.979657251,Mid Devon,3,,
85,-0.717276981,-0.154703953,0.097655075,-0.66271642,New Forest,3,,
86,-1.657912671,2.532905052,-0.42781251,-0.507354329,Newport,3,,
87,-1.07291156,1.623923916,-0.957996895,-0.044147777,North Hertfordshire,3,,
88,0.018041765,-0.083993604,-0.669279507,-1.02567724,Runnymede,3,,
89,-2.127081719,2.193459611,0.336863863,-0.770889391,Sefton,3,,
90,-2.204060559,0.686001995,0.040629848,0.201780559,South Lakeland,3,,
91,0.048644433,0.686765072,-2.068874681,0.924626923,South Norfolk,3,,
92,-2.939636378,-0.305374058,0.496603909,1.556164601,South Somerset,3,,
93,-0.908256086,0.774827846,0.627284685,-0.161090383,St. Helens,3,,
94,-0.248233246,0.400457505,-1.410608674,-0.192329595,Stoke-on-Trent,3,,
95,-2.644208641,0.631159137,-0.099809373,0.078545737,Tandridge,3,,
96,0.279681314,0.186965723,-0.188535513,-0.656818654,Test Valley,3,,
97,1.928594917,-1.849011175,0.898570216,-0.79450266,West Northamptonshire,3,,
98,0.346337866,-0.088403317,0.055275422,-0.893798105,Wrexham,3,,
99,0.856150603,0.500460819,-0.185694843,-0.653289856,Adur,4,,
100,-0.793599102,-0.99735774,0.737704284,-0.544706173,Amber Valley,4,,
101,3.134643581,2.557122314,0.449515541,0.519246456,Arun,4,,
102,-0.984026171,0.326919118,1.09080799,-1.182360153,Babergh,4,,
103,-0.834201346,-0.144770794,0.365890582,-0.412456236,Broadland,4,,
104,-1.567149144,-1.579306729,-0.160470581,0.049509212,Castle Point,4,,
105,-1.714800443,0.119620294,0.651895874,-0.374227285,Chichester,4,,
106,-1.784202597,0.48533862,1.503190645,-0.639615823,Colchester,4,,
107,-1.767893361,2.822529882,-0.999774962,-0.194069619,Copeland,4,,
108,-1.095239527,-2.071404546,0.973443047,-0.891170049,Cornwall,4,,
109,-0.713321665,-0.305881809,0.32327559,-0.887876055,Coventry,4,,
110,0.57402604,-1.128592398,0.894406388,-0.473736966,Derby,4,,
111,-0.363634951,-0.886845244,1.755395968,-1.32631975,Dorset,4,,
112,0.65084074,-0.788655739,-0.551361561,-0.273652455,East Hertfordshire,4,,
113,-1.444050324,-0.597314456,0.715044217,-0.55848911,East Lindsey,4,,
114,3.681775055,0.630228144,-1.444559388,-0.012314556,East Suffolk,4,,
115,2.227325815,0.894808802,1.596666732,0.344628678,Eastleigh,4,,
116,-1.32326121,-0.704188524,1.631783474,0.547458471,Exeter,4,,
117,3.702284155,-0.422165524,0.00229588,-1.313859867,Flintshire,4,,
118,-0.721092306,-1.673360052,-0.558676558,0.388830923,Folkestone and Hythe,4,,
119,-1.742443666,1.049030636,0.710591904,-0.63861956,Halton,4,,
120,5.266012118,2.190155,-1.421887188,-1.670661997,Harlow,4,,
121,-0.947747499,1.296256881,-1.176250307,0.005630122,Hastings,4,,
122,3.985681102,-0.397235989,0.983901388,-1.975877499,Isle of Anglesey,4,,
123,1.186488208,-1.123515394,-0.859955564,-0.144464225,Kensington and Chelsea,4,,
124,-1.215949575,0.764944522,0.740697331,-0.122130512,Maidstone,4,,
125,2.131508839,-0.769909185,0.297589487,-0.893108798,Maldon,4,,
126,0.332882514,0.9137443,-0.008636532,-0.580520571,Medway,4,,
127,-1.082831483,-1.790972636,0.019187677,0.36902746,Melton,4,,
128,-0.688853078,-0.617311459,1.290318297,-0.40965443,Merton,4,,
129,-1.333890346,-0.118034016,0.216691176,-0.577360346,Milton Keynes,4,,
130,0.690979749,-0.624004009,-0.550720364,-0.357926331,Mole Valley,4,,
131,-1.881053809,-0.441942417,0.577195126,-0.089517993,Neath Port Talbot,4,,
132,1.095528557,0.264681127,-0.21206756,-0.381340915,North Devon,4,,
133,-1.47671387,-0.38624674,-0.132013943,-0.129754256,North Lincolnshire,4,,
134,2.487078035,-0.25001173,-0.007662436,0.162597512,Portsmouth,4,,
135,-1.064391766,-0.346471945,-0.178387462,-0.411083136,Rhondda Cynon Taf,4,,
136,-0.852925919,1.072469397,-0.845021409,0.218082927,Rochdale,4,,
137,3.472484548,-0.79688677,-0.447428098,-0.685730957,Rossendale,4,,
138,-0.378030056,0.119973865,-0.450561805,-0.015790261,Rutland,4,,
139,-0.006727626,-1.571983712,0.12117578,-0.127955615,Sandwell,4,,
